指标,值,说明
总场景数,12,测试的场景总数
总Episode数,132,所有场景的episode总数
总成功次数,64,所有场景的成功episode总数
,,
Episode级别总体SR,0.484848,总体成功率 = 总成功次数 / 总Episode数 (48.48%)
场景级别平均SR,0.484848,所有场景成功率的平均值 (48.48%)
场景级别加权平均SR,0.484848,按episode数量加权的场景成功率平均值 (48.48%)
,,
场景级别平均SPL,0.443563,所有场景平均SPL的算术平均值
场景级别加权平均SPL,0.443563,按episode数量加权的场景平均SPL
,,
场景级别平均路径长度,2.730633,所有场景平均路径长度的算术平均值 (m)
场景级别加权平均路径长度,2.730633,按episode数量加权的场景平均路径长度 (m)
,,
场景级别平均欧氏距离,3.002042,所有场景平均欧氏距离的算术平均值 (m)
场景级别加权平均欧氏距离,3.002042,按episode数量加权的场景平均欧氏距离 (m)
